Designator,Mid X,Mid Y,Rotation,Layer
C1,121.92,-68.834,270.0,top
C2,131.826,-68.608,270.0,top
C3,125.73,-67.31,90.0,top
C4,110.744,-71.529,270.0,top
C5,110.744,-66.307,90.0,top
C6,117.348,-78.133,270.0,top
C7,122.174,-78.133,270.0,top
C8,117.348,-96.111,90.0,top
C9,122.174,-96.111,90.0,top
D1,121.9455,-105.918,0.0,top
D2,129.54,-76.2,90.0,top
L1,113.538,-68.072,180.0,top
Q1,117.452,-108.966,180.0,top
R1,112.564,-65.784,90.0,top
R2,114.3,-65.342,270.0,top
R3,126.746,-105.093,270.0,top
R4,119.38,-100.267,90.0,top
R5,125.984,-100.267,90.0,top
R6,123.19,-100.267,90.0,top
R7,116.332,-100.267,90.0,top
R8,120.6735,-108.966,0.0,top
R9,129.54,-78.994,90.0,top
U1,120.0,-87.1,0.0,top
U2,118.2425,-67.122,180.0,top
U3,128.6565,-67.122,0.0,top
